Token,Definition
also,"hippocampal pattern reinstatement, also referred to as pattern completion, may mediate cortical reinstatement during retrieval | Specifically, it has been proposed that reactivation of hippocampal patterns, or pattern completion, can result in or mediate cortical reinstatement during remembering"
referred,"hippocampal pattern reinstatement, also referred to as pattern completion, may mediate cortical reinstatement during retrieval | Specifically, it has been proposed that reactivation of hippocampal patterns, or pattern completion, can result in or mediate cortical reinstatement during remembering"
pattern,"hippocampal pattern reinstatement, also referred to as pattern completion, may mediate cortical reinstatement during retrieval | Specifically, it has been proposed that reactivation of hippocampal patterns, or pattern completion, can result in or mediate cortical reinstatement during remembering"
completion,"hippocampal pattern reinstatement, also referred to as pattern completion, may mediate cortical reinstatement during retrieval | Specifically, it has been proposed that reactivation of hippocampal patterns, or pattern completion, can result in or mediate cortical reinstatement during remembering"
mediate,"hippocampal pattern reinstatement, also referred to as pattern completion, may mediate cortical reinstatement during retrieval | Specifically, it has been proposed that reactivation of hippocampal patterns, or pattern completion, can result in or mediate cortical reinstatement during remembering"
cortical,"hippocampal pattern reinstatement, also referred to as pattern completion, may mediate cortical reinstatement during retrieval | Specifically, it has been proposed that reactivation of hippocampal patterns, or pattern completion, can result in or mediate cortical reinstatement during remembering"
reinstatement,"hippocampal pattern reinstatement, also referred to as pattern completion, may mediate cortical reinstatement during retrieval | Specifically, it has been proposed that reactivation of hippocampal patterns, or pattern completion, can result in or mediate cortical reinstatement during remembering"
during,"hippocampal pattern reinstatement, also referred to as pattern completion, may mediate cortical reinstatement during retrieval | Specifically, it has been proposed that reactivation of hippocampal patterns, or pattern completion, can result in or mediate cortical reinstatement during remembering"
retrieval,"hippocampal pattern reinstatement, also referred to as pattern completion, may mediate cortical reinstatement during retrieval | Specifically, it has been proposed that reactivation of hippocampal patterns, or pattern completion, can result in or mediate cortical reinstatement during remembering"
specifically,"hippocampal pattern reinstatement, also referred to as pattern completion, may mediate cortical reinstatement during retrieval | Specifically, it has been proposed that reactivation of hippocampal patterns, or pattern completion, can result in or mediate cortical reinstatement during remembering"
ha,"hippocampal pattern reinstatement, also referred to as pattern completion, may mediate cortical reinstatement during retrieval | Specifically, it has been proposed that reactivation of hippocampal patterns, or pattern completion, can result in or mediate cortical reinstatement during remembering"
been,"hippocampal pattern reinstatement, also referred to as pattern completion, may mediate cortical reinstatement during retrieval | Specifically, it has been proposed that reactivation of hippocampal patterns, or pattern completion, can result in or mediate cortical reinstatement during remembering"
proposed,"hippocampal pattern reinstatement, also referred to as pattern completion, may mediate cortical reinstatement during retrieval | Specifically, it has been proposed that reactivation of hippocampal patterns, or pattern completion, can result in or mediate cortical reinstatement during remembering"
reactivation,"hippocampal pattern reinstatement, also referred to as pattern completion, may mediate cortical reinstatement during retrieval | Specifically, it has been proposed that reactivation of hippocampal patterns, or pattern completion, can result in or mediate cortical reinstatement during remembering"
hippocampal,"hippocampal pattern reinstatement, also referred to as pattern completion, may mediate cortical reinstatement during retrieval | Specifically, it has been proposed that reactivation of hippocampal patterns, or pattern completion, can result in or mediate cortical reinstatement during remembering"
pattern,"hippocampal pattern reinstatement, also referred to as pattern completion, may mediate cortical reinstatement during retrieval | Specifically, it has been proposed that reactivation of hippocampal patterns, or pattern completion, can result in or mediate cortical reinstatement during remembering"
pattern,"hippocampal pattern reinstatement, also referred to as pattern completion, may mediate cortical reinstatement during retrieval | Specifically, it has been proposed that reactivation of hippocampal patterns, or pattern completion, can result in or mediate cortical reinstatement during remembering"
completion,"hippocampal pattern reinstatement, also referred to as pattern completion, may mediate cortical reinstatement during retrieval | Specifically, it has been proposed that reactivation of hippocampal patterns, or pattern completion, can result in or mediate cortical reinstatement during remembering"
result,"hippocampal pattern reinstatement, also referred to as pattern completion, may mediate cortical reinstatement during retrieval | Specifically, it has been proposed that reactivation of hippocampal patterns, or pattern completion, can result in or mediate cortical reinstatement during remembering"
mediate,"hippocampal pattern reinstatement, also referred to as pattern completion, may mediate cortical reinstatement during retrieval | Specifically, it has been proposed that reactivation of hippocampal patterns, or pattern completion, can result in or mediate cortical reinstatement during remembering"
cortical,"hippocampal pattern reinstatement, also referred to as pattern completion, may mediate cortical reinstatement during retrieval | Specifically, it has been proposed that reactivation of hippocampal patterns, or pattern completion, can result in or mediate cortical reinstatement during remembering"
reinstatement,"hippocampal pattern reinstatement, also referred to as pattern completion, may mediate cortical reinstatement during retrieval | Specifically, it has been proposed that reactivation of hippocampal patterns, or pattern completion, can result in or mediate cortical reinstatement during remembering"
during,"hippocampal pattern reinstatement, also referred to as pattern completion, may mediate cortical reinstatement during retrieval | Specifically, it has been proposed that reactivation of hippocampal patterns, or pattern completion, can result in or mediate cortical reinstatement during remembering"
remembering,"hippocampal pattern reinstatement, also referred to as pattern completion, may mediate cortical reinstatement during retrieval | Specifically, it has been proposed that reactivation of hippocampal patterns, or pattern completion, can result in or mediate cortical reinstatement during remembering"
one,"One candidate retrieval mechanism is pattern completion in the hippocampus, whereby exposure to part of a past experience activates a conjunctive representation of the entire experience."
candidate,"One candidate retrieval mechanism is pattern completion in the hippocampus, whereby exposure to part of a past experience activates a conjunctive representation of the entire experience."
retrieval,"One candidate retrieval mechanism is pattern completion in the hippocampus, whereby exposure to part of a past experience activates a conjunctive representation of the entire experience."
mechanism,"One candidate retrieval mechanism is pattern completion in the hippocampus, whereby exposure to part of a past experience activates a conjunctive representation of the entire experience."
pattern,"One candidate retrieval mechanism is pattern completion in the hippocampus, whereby exposure to part of a past experience activates a conjunctive representation of the entire experience."
completion,"One candidate retrieval mechanism is pattern completion in the hippocampus, whereby exposure to part of a past experience activates a conjunctive representation of the entire experience."
hippocampus,"One candidate retrieval mechanism is pattern completion in the hippocampus, whereby exposure to part of a past experience activates a conjunctive representation of the entire experience."
whereby,"One candidate retrieval mechanism is pattern completion in the hippocampus, whereby exposure to part of a past experience activates a conjunctive representation of the entire experience."
exposure,"One candidate retrieval mechanism is pattern completion in the hippocampus, whereby exposure to part of a past experience activates a conjunctive representation of the entire experience."
part,"One candidate retrieval mechanism is pattern completion in the hippocampus, whereby exposure to part of a past experience activates a conjunctive representation of the entire experience."
past,"One candidate retrieval mechanism is pattern completion in the hippocampus, whereby exposure to part of a past experience activates a conjunctive representation of the entire experience."
experience,"One candidate retrieval mechanism is pattern completion in the hippocampus, whereby exposure to part of a past experience activates a conjunctive representation of the entire experience."
activates,"One candidate retrieval mechanism is pattern completion in the hippocampus, whereby exposure to part of a past experience activates a conjunctive representation of the entire experience."
conjunctive,"One candidate retrieval mechanism is pattern completion in the hippocampus, whereby exposure to part of a past experience activates a conjunctive representation of the entire experience."
representation,"One candidate retrieval mechanism is pattern completion in the hippocampus, whereby exposure to part of a past experience activates a conjunctive representation of the entire experience."
entire,"One candidate retrieval mechanism is pattern completion in the hippocampus, whereby exposure to part of a past experience activates a conjunctive representation of the entire experience."
experience,"One candidate retrieval mechanism is pattern completion in the hippocampus, whereby exposure to part of a past experience activates a conjunctive representation of the entire experience."
operation,"The operation involved in recollection is a rich and detailed retrieval from few or no clues, termed pattern completion."
involved,"The operation involved in recollection is a rich and detailed retrieval from few or no clues, termed pattern completion."
recollection,"The operation involved in recollection is a rich and detailed retrieval from few or no clues, termed pattern completion."
rich,"The operation involved in recollection is a rich and detailed retrieval from few or no clues, termed pattern completion."
detailed,"The operation involved in recollection is a rich and detailed retrieval from few or no clues, termed pattern completion."
retrieval,"The operation involved in recollection is a rich and detailed retrieval from few or no clues, termed pattern completion."
few,"The operation involved in recollection is a rich and detailed retrieval from few or no clues, termed pattern completion."
no,"The operation involved in recollection is a rich and detailed retrieval from few or no clues, termed pattern completion."
clue,"The operation involved in recollection is a rich and detailed retrieval from few or no clues, termed pattern completion."
termed,"The operation involved in recollection is a rich and detailed retrieval from few or no clues, termed pattern completion."
pattern,"The operation involved in recollection is a rich and detailed retrieval from few or no clues, termed pattern completion."
completion,"The operation involved in recollection is a rich and detailed retrieval from few or no clues, termed pattern completion."
retrieval,"Retrieval of an episodic memory relies critically on hippocampal-dependent pattern completion, which entails reactivation of a stored memory trace by the hippocampus in response to a partial cue, leading to replay of cortical activity patterns that were present at the time of memory encoding"
episodic,"Retrieval of an episodic memory relies critically on hippocampal-dependent pattern completion, which entails reactivation of a stored memory trace by the hippocampus in response to a partial cue, leading to replay of cortical activity patterns that were present at the time of memory encoding"
memory,"Retrieval of an episodic memory relies critically on hippocampal-dependent pattern completion, which entails reactivation of a stored memory trace by the hippocampus in response to a partial cue, leading to replay of cortical activity patterns that were present at the time of memory encoding"
relies,"Retrieval of an episodic memory relies critically on hippocampal-dependent pattern completion, which entails reactivation of a stored memory trace by the hippocampus in response to a partial cue, leading to replay of cortical activity patterns that were present at the time of memory encoding"
critically,"Retrieval of an episodic memory relies critically on hippocampal-dependent pattern completion, which entails reactivation of a stored memory trace by the hippocampus in response to a partial cue, leading to replay of cortical activity patterns that were present at the time of memory encoding"
hippocampaldependent,"Retrieval of an episodic memory relies critically on hippocampal-dependent pattern completion, which entails reactivation of a stored memory trace by the hippocampus in response to a partial cue, leading to replay of cortical activity patterns that were present at the time of memory encoding"
pattern,"Retrieval of an episodic memory relies critically on hippocampal-dependent pattern completion, which entails reactivation of a stored memory trace by the hippocampus in response to a partial cue, leading to replay of cortical activity patterns that were present at the time of memory encoding"
completion,"Retrieval of an episodic memory relies critically on hippocampal-dependent pattern completion, which entails reactivation of a stored memory trace by the hippocampus in response to a partial cue, leading to replay of cortical activity patterns that were present at the time of memory encoding"
entail,"Retrieval of an episodic memory relies critically on hippocampal-dependent pattern completion, which entails reactivation of a stored memory trace by the hippocampus in response to a partial cue, leading to replay of cortical activity patterns that were present at the time of memory encoding"
reactivation,"Retrieval of an episodic memory relies critically on hippocampal-dependent pattern completion, which entails reactivation of a stored memory trace by the hippocampus in response to a partial cue, leading to replay of cortical activity patterns that were present at the time of memory encoding"
stored,"Retrieval of an episodic memory relies critically on hippocampal-dependent pattern completion, which entails reactivation of a stored memory trace by the hippocampus in response to a partial cue, leading to replay of cortical activity patterns that were present at the time of memory encoding"
memory,"Retrieval of an episodic memory relies critically on hippocampal-dependent pattern completion, which entails reactivation of a stored memory trace by the hippocampus in response to a partial cue, leading to replay of cortical activity patterns that were present at the time of memory encoding"
trace,"Retrieval of an episodic memory relies critically on hippocampal-dependent pattern completion, which entails reactivation of a stored memory trace by the hippocampus in response to a partial cue, leading to replay of cortical activity patterns that were present at the time of memory encoding"
hippocampus,"Retrieval of an episodic memory relies critically on hippocampal-dependent pattern completion, which entails reactivation of a stored memory trace by the hippocampus in response to a partial cue, leading to replay of cortical activity patterns that were present at the time of memory encoding"
response,"Retrieval of an episodic memory relies critically on hippocampal-dependent pattern completion, which entails reactivation of a stored memory trace by the hippocampus in response to a partial cue, leading to replay of cortical activity patterns that were present at the time of memory encoding"
partial,"Retrieval of an episodic memory relies critically on hippocampal-dependent pattern completion, which entails reactivation of a stored memory trace by the hippocampus in response to a partial cue, leading to replay of cortical activity patterns that were present at the time of memory encoding"
cue,"Retrieval of an episodic memory relies critically on hippocampal-dependent pattern completion, which entails reactivation of a stored memory trace by the hippocampus in response to a partial cue, leading to replay of cortical activity patterns that were present at the time of memory encoding"
leading,"Retrieval of an episodic memory relies critically on hippocampal-dependent pattern completion, which entails reactivation of a stored memory trace by the hippocampus in response to a partial cue, leading to replay of cortical activity patterns that were present at the time of memory encoding"
replay,"Retrieval of an episodic memory relies critically on hippocampal-dependent pattern completion, which entails reactivation of a stored memory trace by the hippocampus in response to a partial cue, leading to replay of cortical activity patterns that were present at the time of memory encoding"
cortical,"Retrieval of an episodic memory relies critically on hippocampal-dependent pattern completion, which entails reactivation of a stored memory trace by the hippocampus in response to a partial cue, leading to replay of cortical activity patterns that were present at the time of memory encoding"
activity,"Retrieval of an episodic memory relies critically on hippocampal-dependent pattern completion, which entails reactivation of a stored memory trace by the hippocampus in response to a partial cue, leading to replay of cortical activity patterns that were present at the time of memory encoding"
pattern,"Retrieval of an episodic memory relies critically on hippocampal-dependent pattern completion, which entails reactivation of a stored memory trace by the hippocampus in response to a partial cue, leading to replay of cortical activity patterns that were present at the time of memory encoding"
were,"Retrieval of an episodic memory relies critically on hippocampal-dependent pattern completion, which entails reactivation of a stored memory trace by the hippocampus in response to a partial cue, leading to replay of cortical activity patterns that were present at the time of memory encoding"
present,"Retrieval of an episodic memory relies critically on hippocampal-dependent pattern completion, which entails reactivation of a stored memory trace by the hippocampus in response to a partial cue, leading to replay of cortical activity patterns that were present at the time of memory encoding"
time,"Retrieval of an episodic memory relies critically on hippocampal-dependent pattern completion, which entails reactivation of a stored memory trace by the hippocampus in response to a partial cue, leading to replay of cortical activity patterns that were present at the time of memory encoding"
memory,"Retrieval of an episodic memory relies critically on hippocampal-dependent pattern completion, which entails reactivation of a stored memory trace by the hippocampus in response to a partial cue, leading to replay of cortical activity patterns that were present at the time of memory encoding"
encoding,"Retrieval of an episodic memory relies critically on hippocampal-dependent pattern completion, which entails reactivation of a stored memory trace by the hippocampus in response to a partial cue, leading to replay of cortical activity patterns that were present at the time of memory encoding"
pattern,"...pattern completion reactivates memory representations based on noisy or degraded stimuli.| pattern completion involves the reactivation of previously stored memories in case of noisy, incomplete or degraded input"
completion,"...pattern completion reactivates memory representations based on noisy or degraded stimuli.| pattern completion involves the reactivation of previously stored memories in case of noisy, incomplete or degraded input"
reactivates,"...pattern completion reactivates memory representations based on noisy or degraded stimuli.| pattern completion involves the reactivation of previously stored memories in case of noisy, incomplete or degraded input"
memory,"...pattern completion reactivates memory representations based on noisy or degraded stimuli.| pattern completion involves the reactivation of previously stored memories in case of noisy, incomplete or degraded input"
representation,"...pattern completion reactivates memory representations based on noisy or degraded stimuli.| pattern completion involves the reactivation of previously stored memories in case of noisy, incomplete or degraded input"
based,"...pattern completion reactivates memory representations based on noisy or degraded stimuli.| pattern completion involves the reactivation of previously stored memories in case of noisy, incomplete or degraded input"
noisy,"...pattern completion reactivates memory representations based on noisy or degraded stimuli.| pattern completion involves the reactivation of previously stored memories in case of noisy, incomplete or degraded input"
degraded,"...pattern completion reactivates memory representations based on noisy or degraded stimuli.| pattern completion involves the reactivation of previously stored memories in case of noisy, incomplete or degraded input"
stimulus,"...pattern completion reactivates memory representations based on noisy or degraded stimuli.| pattern completion involves the reactivation of previously stored memories in case of noisy, incomplete or degraded input"
pattern,"...pattern completion reactivates memory representations based on noisy or degraded stimuli.| pattern completion involves the reactivation of previously stored memories in case of noisy, incomplete or degraded input"
completion,"...pattern completion reactivates memory representations based on noisy or degraded stimuli.| pattern completion involves the reactivation of previously stored memories in case of noisy, incomplete or degraded input"
involves,"...pattern completion reactivates memory representations based on noisy or degraded stimuli.| pattern completion involves the reactivation of previously stored memories in case of noisy, incomplete or degraded input"
reactivation,"...pattern completion reactivates memory representations based on noisy or degraded stimuli.| pattern completion involves the reactivation of previously stored memories in case of noisy, incomplete or degraded input"
previously,"...pattern completion reactivates memory representations based on noisy or degraded stimuli.| pattern completion involves the reactivation of previously stored memories in case of noisy, incomplete or degraded input"
stored,"...pattern completion reactivates memory representations based on noisy or degraded stimuli.| pattern completion involves the reactivation of previously stored memories in case of noisy, incomplete or degraded input"
memory,"...pattern completion reactivates memory representations based on noisy or degraded stimuli.| pattern completion involves the reactivation of previously stored memories in case of noisy, incomplete or degraded input"
case,"...pattern completion reactivates memory representations based on noisy or degraded stimuli.| pattern completion involves the reactivation of previously stored memories in case of noisy, incomplete or degraded input"
noisy,"...pattern completion reactivates memory representations based on noisy or degraded stimuli.| pattern completion involves the reactivation of previously stored memories in case of noisy, incomplete or degraded input"
incomplete,"...pattern completion reactivates memory representations based on noisy or degraded stimuli.| pattern completion involves the reactivation of previously stored memories in case of noisy, incomplete or degraded input"
degraded,"...pattern completion reactivates memory representations based on noisy or degraded stimuli.| pattern completion involves the reactivation of previously stored memories in case of noisy, incomplete or degraded input"
input,"...pattern completion reactivates memory representations based on noisy or degraded stimuli.| pattern completion involves the reactivation of previously stored memories in case of noisy, incomplete or degraded input"
computation,"computations that extract commonalities of incoming information (i.e., pattern completion)"
extract,"computations that extract commonalities of incoming information (i.e., pattern completion)"
commonality,"computations that extract commonalities of incoming information (i.e., pattern completion)"
incoming,"computations that extract commonalities of incoming information (i.e., pattern completion)"
information,"computations that extract commonalities of incoming information (i.e., pattern completion)"
ie,"computations that extract commonalities of incoming information (i.e., pattern completion)"
pattern,"computations that extract commonalities of incoming information (i.e., pattern completion)"
completion,"computations that extract commonalities of incoming information (i.e., pattern completion)"
based,"Based on the physiological properties of the hippocampal CA3 subregion, computational models have proposed ‘pattern completion’ as the central mechanism underlying successful recollection. Specifically, dense recurrent connections among CA3 pyramidal cells are thought to allow, after a single exposure, for auto-associative reinstatement of a previous learning pattern upon receiving a retrieval cue. "
physiological,"Based on the physiological properties of the hippocampal CA3 subregion, computational models have proposed ‘pattern completion’ as the central mechanism underlying successful recollection. Specifically, dense recurrent connections among CA3 pyramidal cells are thought to allow, after a single exposure, for auto-associative reinstatement of a previous learning pattern upon receiving a retrieval cue. "
property,"Based on the physiological properties of the hippocampal CA3 subregion, computational models have proposed ‘pattern completion’ as the central mechanism underlying successful recollection. Specifically, dense recurrent connections among CA3 pyramidal cells are thought to allow, after a single exposure, for auto-associative reinstatement of a previous learning pattern upon receiving a retrieval cue. "
hippocampal,"Based on the physiological properties of the hippocampal CA3 subregion, computational models have proposed ‘pattern completion’ as the central mechanism underlying successful recollection. Specifically, dense recurrent connections among CA3 pyramidal cells are thought to allow, after a single exposure, for auto-associative reinstatement of a previous learning pattern upon receiving a retrieval cue. "
ca3,"Based on the physiological properties of the hippocampal CA3 subregion, computational models have proposed ‘pattern completion’ as the central mechanism underlying successful recollection. Specifically, dense recurrent connections among CA3 pyramidal cells are thought to allow, after a single exposure, for auto-associative reinstatement of a previous learning pattern upon receiving a retrieval cue. "
subregion,"Based on the physiological properties of the hippocampal CA3 subregion, computational models have proposed ‘pattern completion’ as the central mechanism underlying successful recollection. Specifically, dense recurrent connections among CA3 pyramidal cells are thought to allow, after a single exposure, for auto-associative reinstatement of a previous learning pattern upon receiving a retrieval cue. "
computational,"Based on the physiological properties of the hippocampal CA3 subregion, computational models have proposed ‘pattern completion’ as the central mechanism underlying successful recollection. Specifically, dense recurrent connections among CA3 pyramidal cells are thought to allow, after a single exposure, for auto-associative reinstatement of a previous learning pattern upon receiving a retrieval cue. "
model,"Based on the physiological properties of the hippocampal CA3 subregion, computational models have proposed ‘pattern completion’ as the central mechanism underlying successful recollection. Specifically, dense recurrent connections among CA3 pyramidal cells are thought to allow, after a single exposure, for auto-associative reinstatement of a previous learning pattern upon receiving a retrieval cue. "
have,"Based on the physiological properties of the hippocampal CA3 subregion, computational models have proposed ‘pattern completion’ as the central mechanism underlying successful recollection. Specifically, dense recurrent connections among CA3 pyramidal cells are thought to allow, after a single exposure, for auto-associative reinstatement of a previous learning pattern upon receiving a retrieval cue. "
proposed,"Based on the physiological properties of the hippocampal CA3 subregion, computational models have proposed ‘pattern completion’ as the central mechanism underlying successful recollection. Specifically, dense recurrent connections among CA3 pyramidal cells are thought to allow, after a single exposure, for auto-associative reinstatement of a previous learning pattern upon receiving a retrieval cue. "
‘pattern,"Based on the physiological properties of the hippocampal CA3 subregion, computational models have proposed ‘pattern completion’ as the central mechanism underlying successful recollection. Specifically, dense recurrent connections among CA3 pyramidal cells are thought to allow, after a single exposure, for auto-associative reinstatement of a previous learning pattern upon receiving a retrieval cue. "
completion’,"Based on the physiological properties of the hippocampal CA3 subregion, computational models have proposed ‘pattern completion’ as the central mechanism underlying successful recollection. Specifically, dense recurrent connections among CA3 pyramidal cells are thought to allow, after a single exposure, for auto-associative reinstatement of a previous learning pattern upon receiving a retrieval cue. "
central,"Based on the physiological properties of the hippocampal CA3 subregion, computational models have proposed ‘pattern completion’ as the central mechanism underlying successful recollection. Specifically, dense recurrent connections among CA3 pyramidal cells are thought to allow, after a single exposure, for auto-associative reinstatement of a previous learning pattern upon receiving a retrieval cue. "
mechanism,"Based on the physiological properties of the hippocampal CA3 subregion, computational models have proposed ‘pattern completion’ as the central mechanism underlying successful recollection. Specifically, dense recurrent connections among CA3 pyramidal cells are thought to allow, after a single exposure, for auto-associative reinstatement of a previous learning pattern upon receiving a retrieval cue. "
underlying,"Based on the physiological properties of the hippocampal CA3 subregion, computational models have proposed ‘pattern completion’ as the central mechanism underlying successful recollection. Specifically, dense recurrent connections among CA3 pyramidal cells are thought to allow, after a single exposure, for auto-associative reinstatement of a previous learning pattern upon receiving a retrieval cue. "
successful,"Based on the physiological properties of the hippocampal CA3 subregion, computational models have proposed ‘pattern completion’ as the central mechanism underlying successful recollection. Specifically, dense recurrent connections among CA3 pyramidal cells are thought to allow, after a single exposure, for auto-associative reinstatement of a previous learning pattern upon receiving a retrieval cue. "
recollection,"Based on the physiological properties of the hippocampal CA3 subregion, computational models have proposed ‘pattern completion’ as the central mechanism underlying successful recollection. Specifically, dense recurrent connections among CA3 pyramidal cells are thought to allow, after a single exposure, for auto-associative reinstatement of a previous learning pattern upon receiving a retrieval cue. "
specifically,"Based on the physiological properties of the hippocampal CA3 subregion, computational models have proposed ‘pattern completion’ as the central mechanism underlying successful recollection. Specifically, dense recurrent connections among CA3 pyramidal cells are thought to allow, after a single exposure, for auto-associative reinstatement of a previous learning pattern upon receiving a retrieval cue. "
dense,"Based on the physiological properties of the hippocampal CA3 subregion, computational models have proposed ‘pattern completion’ as the central mechanism underlying successful recollection. Specifically, dense recurrent connections among CA3 pyramidal cells are thought to allow, after a single exposure, for auto-associative reinstatement of a previous learning pattern upon receiving a retrieval cue. "
recurrent,"Based on the physiological properties of the hippocampal CA3 subregion, computational models have proposed ‘pattern completion’ as the central mechanism underlying successful recollection. Specifically, dense recurrent connections among CA3 pyramidal cells are thought to allow, after a single exposure, for auto-associative reinstatement of a previous learning pattern upon receiving a retrieval cue. "
connection,"Based on the physiological properties of the hippocampal CA3 subregion, computational models have proposed ‘pattern completion’ as the central mechanism underlying successful recollection. Specifically, dense recurrent connections among CA3 pyramidal cells are thought to allow, after a single exposure, for auto-associative reinstatement of a previous learning pattern upon receiving a retrieval cue. "
among,"Based on the physiological properties of the hippocampal CA3 subregion, computational models have proposed ‘pattern completion’ as the central mechanism underlying successful recollection. Specifically, dense recurrent connections among CA3 pyramidal cells are thought to allow, after a single exposure, for auto-associative reinstatement of a previous learning pattern upon receiving a retrieval cue. "
ca3,"Based on the physiological properties of the hippocampal CA3 subregion, computational models have proposed ‘pattern completion’ as the central mechanism underlying successful recollection. Specifically, dense recurrent connections among CA3 pyramidal cells are thought to allow, after a single exposure, for auto-associative reinstatement of a previous learning pattern upon receiving a retrieval cue. "
pyramidal,"Based on the physiological properties of the hippocampal CA3 subregion, computational models have proposed ‘pattern completion’ as the central mechanism underlying successful recollection. Specifically, dense recurrent connections among CA3 pyramidal cells are thought to allow, after a single exposure, for auto-associative reinstatement of a previous learning pattern upon receiving a retrieval cue. "
cell,"Based on the physiological properties of the hippocampal CA3 subregion, computational models have proposed ‘pattern completion’ as the central mechanism underlying successful recollection. Specifically, dense recurrent connections among CA3 pyramidal cells are thought to allow, after a single exposure, for auto-associative reinstatement of a previous learning pattern upon receiving a retrieval cue. "
thought,"Based on the physiological properties of the hippocampal CA3 subregion, computational models have proposed ‘pattern completion’ as the central mechanism underlying successful recollection. Specifically, dense recurrent connections among CA3 pyramidal cells are thought to allow, after a single exposure, for auto-associative reinstatement of a previous learning pattern upon receiving a retrieval cue. "
allow,"Based on the physiological properties of the hippocampal CA3 subregion, computational models have proposed ‘pattern completion’ as the central mechanism underlying successful recollection. Specifically, dense recurrent connections among CA3 pyramidal cells are thought to allow, after a single exposure, for auto-associative reinstatement of a previous learning pattern upon receiving a retrieval cue. "
after,"Based on the physiological properties of the hippocampal CA3 subregion, computational models have proposed ‘pattern completion’ as the central mechanism underlying successful recollection. Specifically, dense recurrent connections among CA3 pyramidal cells are thought to allow, after a single exposure, for auto-associative reinstatement of a previous learning pattern upon receiving a retrieval cue. "
single,"Based on the physiological properties of the hippocampal CA3 subregion, computational models have proposed ‘pattern completion’ as the central mechanism underlying successful recollection. Specifically, dense recurrent connections among CA3 pyramidal cells are thought to allow, after a single exposure, for auto-associative reinstatement of a previous learning pattern upon receiving a retrieval cue. "
exposure,"Based on the physiological properties of the hippocampal CA3 subregion, computational models have proposed ‘pattern completion’ as the central mechanism underlying successful recollection. Specifically, dense recurrent connections among CA3 pyramidal cells are thought to allow, after a single exposure, for auto-associative reinstatement of a previous learning pattern upon receiving a retrieval cue. "
autoassociative,"Based on the physiological properties of the hippocampal CA3 subregion, computational models have proposed ‘pattern completion’ as the central mechanism underlying successful recollection. Specifically, dense recurrent connections among CA3 pyramidal cells are thought to allow, after a single exposure, for auto-associative reinstatement of a previous learning pattern upon receiving a retrieval cue. "
reinstatement,"Based on the physiological properties of the hippocampal CA3 subregion, computational models have proposed ‘pattern completion’ as the central mechanism underlying successful recollection. Specifically, dense recurrent connections among CA3 pyramidal cells are thought to allow, after a single exposure, for auto-associative reinstatement of a previous learning pattern upon receiving a retrieval cue. "
previous,"Based on the physiological properties of the hippocampal CA3 subregion, computational models have proposed ‘pattern completion’ as the central mechanism underlying successful recollection. Specifically, dense recurrent connections among CA3 pyramidal cells are thought to allow, after a single exposure, for auto-associative reinstatement of a previous learning pattern upon receiving a retrieval cue. "
learning,"Based on the physiological properties of the hippocampal CA3 subregion, computational models have proposed ‘pattern completion’ as the central mechanism underlying successful recollection. Specifically, dense recurrent connections among CA3 pyramidal cells are thought to allow, after a single exposure, for auto-associative reinstatement of a previous learning pattern upon receiving a retrieval cue. "
pattern,"Based on the physiological properties of the hippocampal CA3 subregion, computational models have proposed ‘pattern completion’ as the central mechanism underlying successful recollection. Specifically, dense recurrent connections among CA3 pyramidal cells are thought to allow, after a single exposure, for auto-associative reinstatement of a previous learning pattern upon receiving a retrieval cue. "
upon,"Based on the physiological properties of the hippocampal CA3 subregion, computational models have proposed ‘pattern completion’ as the central mechanism underlying successful recollection. Specifically, dense recurrent connections among CA3 pyramidal cells are thought to allow, after a single exposure, for auto-associative reinstatement of a previous learning pattern upon receiving a retrieval cue. "
receiving,"Based on the physiological properties of the hippocampal CA3 subregion, computational models have proposed ‘pattern completion’ as the central mechanism underlying successful recollection. Specifically, dense recurrent connections among CA3 pyramidal cells are thought to allow, after a single exposure, for auto-associative reinstatement of a previous learning pattern upon receiving a retrieval cue. "
retrieval,"Based on the physiological properties of the hippocampal CA3 subregion, computational models have proposed ‘pattern completion’ as the central mechanism underlying successful recollection. Specifically, dense recurrent connections among CA3 pyramidal cells are thought to allow, after a single exposure, for auto-associative reinstatement of a previous learning pattern upon receiving a retrieval cue. "
cue,"Based on the physiological properties of the hippocampal CA3 subregion, computational models have proposed ‘pattern completion’ as the central mechanism underlying successful recollection. Specifically, dense recurrent connections among CA3 pyramidal cells are thought to allow, after a single exposure, for auto-associative reinstatement of a previous learning pattern upon receiving a retrieval cue. "
reactivation,"...reactivation of  brain activity representing a full event from one event element (""pattern completion"")"
brain,"...reactivation of  brain activity representing a full event from one event element (""pattern completion"")"
activity,"...reactivation of  brain activity representing a full event from one event element (""pattern completion"")"
representing,"...reactivation of  brain activity representing a full event from one event element (""pattern completion"")"
full,"...reactivation of  brain activity representing a full event from one event element (""pattern completion"")"
event,"...reactivation of  brain activity representing a full event from one event element (""pattern completion"")"
one,"...reactivation of  brain activity representing a full event from one event element (""pattern completion"")"
event,"...reactivation of  brain activity representing a full event from one event element (""pattern completion"")"
element,"...reactivation of  brain activity representing a full event from one event element (""pattern completion"")"
pattern,"...reactivation of  brain activity representing a full event from one event element (""pattern completion"")"
completion,"...reactivation of  brain activity representing a full event from one event element (""pattern completion"")"
