Type_of_paper;Definition;Tokens;Cluster_of_token
Human_Study;Pattern completion involves the “filling in” of missing features from partial or degraded mnemonic representations, resulting in lower fidelity memory retrieval.;feature;
Human_Study;Pattern completion involves the “filling in” of missing features from partial or degraded mnemonic representations, resulting in lower fidelity memory retrieval.;partial;
Human_Study;Pattern completion involves the “filling in” of missing features from partial or degraded mnemonic representations, resulting in lower fidelity memory retrieval.;degraded;
Human_Study;Pattern completion involves the “filling in” of missing features from partial or degraded mnemonic representations, resulting in lower fidelity memory retrieval.;mnemonic;
Human_Study;Pattern completion involves the “filling in” of missing features from partial or degraded mnemonic representations, resulting in lower fidelity memory retrieval.;representation;
Human_Study;Pattern completion involves the “filling in” of missing features from partial or degraded mnemonic representations, resulting in lower fidelity memory retrieval.;resulting;
Human_Study;Pattern completion involves the “filling in” of missing features from partial or degraded mnemonic representations, resulting in lower fidelity memory retrieval.;lower;
Human_Study;Pattern completion involves the “filling in” of missing features from partial or degraded mnemonic representations, resulting in lower fidelity memory retrieval.;fidelity;
Human_Study;Pattern completion involves the “filling in” of missing features from partial or degraded mnemonic representations, resulting in lower fidelity memory retrieval.;memory;
Human_Study;Pattern completion involves the “filling in” of missing features from partial or degraded mnemonic representations, resulting in lower fidelity memory retrieval.;retrieval;
Human_Study;Associative retrieval is mediated in these models through pattern completion, a computational process in which partial cues reactivate stored neural patterns;associative;
Human_Study;Associative retrieval is mediated in these models through pattern completion, a computational process in which partial cues reactivate stored neural patterns;retrieval;
Human_Study;Associative retrieval is mediated in these models through pattern completion, a computational process in which partial cues reactivate stored neural patterns;mediated;
Human_Study;Associative retrieval is mediated in these models through pattern completion, a computational process in which partial cues reactivate stored neural patterns;these;
Human_Study;Associative retrieval is mediated in these models through pattern completion, a computational process in which partial cues reactivate stored neural patterns;model;
Human_Study;Associative retrieval is mediated in these models through pattern completion, a computational process in which partial cues reactivate stored neural patterns;through;
Human_Study;Associative retrieval is mediated in these models through pattern completion, a computational process in which partial cues reactivate stored neural patterns;pattern;
Human_Study;Associative retrieval is mediated in these models through pattern completion, a computational process in which partial cues reactivate stored neural patterns;completion;
Human_Study;Associative retrieval is mediated in these models through pattern completion, a computational process in which partial cues reactivate stored neural patterns;computational;
Human_Study;Associative retrieval is mediated in these models through pattern completion, a computational process in which partial cues reactivate stored neural patterns;process;
Human_Study;Associative retrieval is mediated in these models through pattern completion, a computational process in which partial cues reactivate stored neural patterns;partial;
Human_Study;Associative retrieval is mediated in these models through pattern completion, a computational process in which partial cues reactivate stored neural patterns;cue;
Human_Study;Associative retrieval is mediated in these models through pattern completion, a computational process in which partial cues reactivate stored neural patterns;reactivate;
Human_Study;Associative retrieval is mediated in these models through pattern completion, a computational process in which partial cues reactivate stored neural patterns;stored;
Human_Study;Associative retrieval is mediated in these models through pattern completion, a computational process in which partial cues reactivate stored neural patterns;neural;
Human_Study;Associative retrieval is mediated in these models through pattern completion, a computational process in which partial cues reactivate stored neural patterns;pattern;
Human_Study;For memory retrieval, pattern completion is a crucial process that restores memories from partial or degraded cues.|...pattern completion is thought to restore memory traces from partial or degraded input via neural reactivation, mainly originating in hippocampal region CA3.;memory;
Human_Study;For memory retrieval, pattern completion is a crucial process that restores memories from partial or degraded cues.|...pattern completion is thought to restore memory traces from partial or degraded input via neural reactivation, mainly originating in hippocampal region CA3.;retrieval;
Human_Study;For memory retrieval, pattern completion is a crucial process that restores memories from partial or degraded cues.|...pattern completion is thought to restore memory traces from partial or degraded input via neural reactivation, mainly originating in hippocampal region CA3.;pattern;
Human_Study;For memory retrieval, pattern completion is a crucial process that restores memories from partial or degraded cues.|...pattern completion is thought to restore memory traces from partial or degraded input via neural reactivation, mainly originating in hippocampal region CA3.;completion;
Human_Study;For memory retrieval, pattern completion is a crucial process that restores memories from partial or degraded cues.|...pattern completion is thought to restore memory traces from partial or degraded input via neural reactivation, mainly originating in hippocampal region CA3.;crucial;
Human_Study;For memory retrieval, pattern completion is a crucial process that restores memories from partial or degraded cues.|...pattern completion is thought to restore memory traces from partial or degraded input via neural reactivation, mainly originating in hippocampal region CA3.;process;
Human_Study;For memory retrieval, pattern completion is a crucial process that restores memories from partial or degraded cues.|...pattern completion is thought to restore memory traces from partial or degraded input via neural reactivation, mainly originating in hippocampal region CA3.;restores;
Human_Study;For memory retrieval, pattern completion is a crucial process that restores memories from partial or degraded cues.|...pattern completion is thought to restore memory traces from partial or degraded input via neural reactivation, mainly originating in hippocampal region CA3.;memory;
Human_Study;For memory retrieval, pattern completion is a crucial process that restores memories from partial or degraded cues.|...pattern completion is thought to restore memory traces from partial or degraded input via neural reactivation, mainly originating in hippocampal region CA3.;partial;
Human_Study;For memory retrieval, pattern completion is a crucial process that restores memories from partial or degraded cues.|...pattern completion is thought to restore memory traces from partial or degraded input via neural reactivation, mainly originating in hippocampal region CA3.;degraded;
Human_Study;For memory retrieval, pattern completion is a crucial process that restores memories from partial or degraded cues.|...pattern completion is thought to restore memory traces from partial or degraded input via neural reactivation, mainly originating in hippocampal region CA3.;cuespattern;
Human_Study;For memory retrieval, pattern completion is a crucial process that restores memories from partial or degraded cues.|...pattern completion is thought to restore memory traces from partial or degraded input via neural reactivation, mainly originating in hippocampal region CA3.;completion;
Human_Study;For memory retrieval, pattern completion is a crucial process that restores memories from partial or degraded cues.|...pattern completion is thought to restore memory traces from partial or degraded input via neural reactivation, mainly originating in hippocampal region CA3.;thought;
Human_Study;For memory retrieval, pattern completion is a crucial process that restores memories from partial or degraded cues.|...pattern completion is thought to restore memory traces from partial or degraded input via neural reactivation, mainly originating in hippocampal region CA3.;restore;
Human_Study;For memory retrieval, pattern completion is a crucial process that restores memories from partial or degraded cues.|...pattern completion is thought to restore memory traces from partial or degraded input via neural reactivation, mainly originating in hippocampal region CA3.;memory;
Human_Study;For memory retrieval, pattern completion is a crucial process that restores memories from partial or degraded cues.|...pattern completion is thought to restore memory traces from partial or degraded input via neural reactivation, mainly originating in hippocampal region CA3.;trace;
Human_Study;For memory retrieval, pattern completion is a crucial process that restores memories from partial or degraded cues.|...pattern completion is thought to restore memory traces from partial or degraded input via neural reactivation, mainly originating in hippocampal region CA3.;partial;
Human_Study;For memory retrieval, pattern completion is a crucial process that restores memories from partial or degraded cues.|...pattern completion is thought to restore memory traces from partial or degraded input via neural reactivation, mainly originating in hippocampal region CA3.;degraded;
Human_Study;For memory retrieval, pattern completion is a crucial process that restores memories from partial or degraded cues.|...pattern completion is thought to restore memory traces from partial or degraded input via neural reactivation, mainly originating in hippocampal region CA3.;input;
Human_Study;For memory retrieval, pattern completion is a crucial process that restores memories from partial or degraded cues.|...pattern completion is thought to restore memory traces from partial or degraded input via neural reactivation, mainly originating in hippocampal region CA3.;via;
Human_Study;For memory retrieval, pattern completion is a crucial process that restores memories from partial or degraded cues.|...pattern completion is thought to restore memory traces from partial or degraded input via neural reactivation, mainly originating in hippocampal region CA3.;neural;
Human_Study;For memory retrieval, pattern completion is a crucial process that restores memories from partial or degraded cues.|...pattern completion is thought to restore memory traces from partial or degraded input via neural reactivation, mainly originating in hippocampal region CA3.;reactivation;
Human_Study;For memory retrieval, pattern completion is a crucial process that restores memories from partial or degraded cues.|...pattern completion is thought to restore memory traces from partial or degraded input via neural reactivation, mainly originating in hippocampal region CA3.;mainly;
Human_Study;For memory retrieval, pattern completion is a crucial process that restores memories from partial or degraded cues.|...pattern completion is thought to restore memory traces from partial or degraded input via neural reactivation, mainly originating in hippocampal region CA3.;originating;
Human_Study;For memory retrieval, pattern completion is a crucial process that restores memories from partial or degraded cues.|...pattern completion is thought to restore memory traces from partial or degraded input via neural reactivation, mainly originating in hippocampal region CA3.;hippocampal;
Human_Study;For memory retrieval, pattern completion is a crucial process that restores memories from partial or degraded cues.|...pattern completion is thought to restore memory traces from partial or degraded input via neural reactivation, mainly originating in hippocampal region CA3.;region;
Human_Study;For memory retrieval, pattern completion is a crucial process that restores memories from partial or degraded cues.|...pattern completion is thought to restore memory traces from partial or degraded input via neural reactivation, mainly originating in hippocampal region CA3.;ca3;
Human_Study;The hippocampus creates distinct episodes from highlysimilar events through a process called pattern separation and can retrieve memories from partial or degraded cues through a process called pattern completion. | The hippocampus can also retrieve a memory representation based on a partial or degraded retrieval cue through a process called pattern completion.;hippocampus;
Human_Study;The hippocampus creates distinct episodes from highlysimilar events through a process called pattern separation and can retrieve memories from partial or degraded cues through a process called pattern completion. | The hippocampus can also retrieve a memory representation based on a partial or degraded retrieval cue through a process called pattern completion.;creates;
Human_Study;The hippocampus creates distinct episodes from highlysimilar events through a process called pattern separation and can retrieve memories from partial or degraded cues through a process called pattern completion. | The hippocampus can also retrieve a memory representation based on a partial or degraded retrieval cue through a process called pattern completion.;distinct;
Human_Study;The hippocampus creates distinct episodes from highlysimilar events through a process called pattern separation and can retrieve memories from partial or degraded cues through a process called pattern completion. | The hippocampus can also retrieve a memory representation based on a partial or degraded retrieval cue through a process called pattern completion.;episode;
Human_Study;The hippocampus creates distinct episodes from highlysimilar events through a process called pattern separation and can retrieve memories from partial or degraded cues through a process called pattern completion. | The hippocampus can also retrieve a memory representation based on a partial or degraded retrieval cue through a process called pattern completion.;highlysimilar;
Human_Study;The hippocampus creates distinct episodes from highlysimilar events through a process called pattern separation and can retrieve memories from partial or degraded cues through a process called pattern completion. | The hippocampus can also retrieve a memory representation based on a partial or degraded retrieval cue through a process called pattern completion.;event;
Human_Study;The hippocampus creates distinct episodes from highlysimilar events through a process called pattern separation and can retrieve memories from partial or degraded cues through a process called pattern completion. | The hippocampus can also retrieve a memory representation based on a partial or degraded retrieval cue through a process called pattern completion.;through;
Human_Study;The hippocampus creates distinct episodes from highlysimilar events through a process called pattern separation and can retrieve memories from partial or degraded cues through a process called pattern completion. | The hippocampus can also retrieve a memory representation based on a partial or degraded retrieval cue through a process called pattern completion.;process;
Human_Study;The hippocampus creates distinct episodes from highlysimilar events through a process called pattern separation and can retrieve memories from partial or degraded cues through a process called pattern completion. | The hippocampus can also retrieve a memory representation based on a partial or degraded retrieval cue through a process called pattern completion.;called;
Human_Study;The hippocampus creates distinct episodes from highlysimilar events through a process called pattern separation and can retrieve memories from partial or degraded cues through a process called pattern completion. | The hippocampus can also retrieve a memory representation based on a partial or degraded retrieval cue through a process called pattern completion.;pattern;
Human_Study;The hippocampus creates distinct episodes from highlysimilar events through a process called pattern separation and can retrieve memories from partial or degraded cues through a process called pattern completion. | The hippocampus can also retrieve a memory representation based on a partial or degraded retrieval cue through a process called pattern completion.;separation;
Human_Study;The hippocampus creates distinct episodes from highlysimilar events through a process called pattern separation and can retrieve memories from partial or degraded cues through a process called pattern completion. | The hippocampus can also retrieve a memory representation based on a partial or degraded retrieval cue through a process called pattern completion.;retrieve;
Human_Study;The hippocampus creates distinct episodes from highlysimilar events through a process called pattern separation and can retrieve memories from partial or degraded cues through a process called pattern completion. | The hippocampus can also retrieve a memory representation based on a partial or degraded retrieval cue through a process called pattern completion.;memory;
Human_Study;The hippocampus creates distinct episodes from highlysimilar events through a process called pattern separation and can retrieve memories from partial or degraded cues through a process called pattern completion. | The hippocampus can also retrieve a memory representation based on a partial or degraded retrieval cue through a process called pattern completion.;partial;
Human_Study;The hippocampus creates distinct episodes from highlysimilar events through a process called pattern separation and can retrieve memories from partial or degraded cues through a process called pattern completion. | The hippocampus can also retrieve a memory representation based on a partial or degraded retrieval cue through a process called pattern completion.;degraded;
Human_Study;The hippocampus creates distinct episodes from highlysimilar events through a process called pattern separation and can retrieve memories from partial or degraded cues through a process called pattern completion. | The hippocampus can also retrieve a memory representation based on a partial or degraded retrieval cue through a process called pattern completion.;cue;
Human_Study;The hippocampus creates distinct episodes from highlysimilar events through a process called pattern separation and can retrieve memories from partial or degraded cues through a process called pattern completion. | The hippocampus can also retrieve a memory representation based on a partial or degraded retrieval cue through a process called pattern completion.;through;
Human_Study;The hippocampus creates distinct episodes from highlysimilar events through a process called pattern separation and can retrieve memories from partial or degraded cues through a process called pattern completion. | The hippocampus can also retrieve a memory representation based on a partial or degraded retrieval cue through a process called pattern completion.;process;
Human_Study;The hippocampus creates distinct episodes from highlysimilar events through a process called pattern separation and can retrieve memories from partial or degraded cues through a process called pattern completion. | The hippocampus can also retrieve a memory representation based on a partial or degraded retrieval cue through a process called pattern completion.;called;
Human_Study;The hippocampus creates distinct episodes from highlysimilar events through a process called pattern separation and can retrieve memories from partial or degraded cues through a process called pattern completion. | The hippocampus can also retrieve a memory representation based on a partial or degraded retrieval cue through a process called pattern completion.;pattern;
Human_Study;The hippocampus creates distinct episodes from highlysimilar events through a process called pattern separation and can retrieve memories from partial or degraded cues through a process called pattern completion. | The hippocampus can also retrieve a memory representation based on a partial or degraded retrieval cue through a process called pattern completion.;completion;
Human_Study;The hippocampus creates distinct episodes from highlysimilar events through a process called pattern separation and can retrieve memories from partial or degraded cues through a process called pattern completion. | The hippocampus can also retrieve a memory representation based on a partial or degraded retrieval cue through a process called pattern completion.;hippocampus;
Human_Study;The hippocampus creates distinct episodes from highlysimilar events through a process called pattern separation and can retrieve memories from partial or degraded cues through a process called pattern completion. | The hippocampus can also retrieve a memory representation based on a partial or degraded retrieval cue through a process called pattern completion.;also;
Human_Study;The hippocampus creates distinct episodes from highlysimilar events through a process called pattern separation and can retrieve memories from partial or degraded cues through a process called pattern completion. | The hippocampus can also retrieve a memory representation based on a partial or degraded retrieval cue through a process called pattern completion.;retrieve;
Human_Study;The hippocampus creates distinct episodes from highlysimilar events through a process called pattern separation and can retrieve memories from partial or degraded cues through a process called pattern completion. | The hippocampus can also retrieve a memory representation based on a partial or degraded retrieval cue through a process called pattern completion.;memory;
Human_Study;The hippocampus creates distinct episodes from highlysimilar events through a process called pattern separation and can retrieve memories from partial or degraded cues through a process called pattern completion. | The hippocampus can also retrieve a memory representation based on a partial or degraded retrieval cue through a process called pattern completion.;representation;
Human_Study;The hippocampus creates distinct episodes from highlysimilar events through a process called pattern separation and can retrieve memories from partial or degraded cues through a process called pattern completion. | The hippocampus can also retrieve a memory representation based on a partial or degraded retrieval cue through a process called pattern completion.;based;
Human_Study;The hippocampus creates distinct episodes from highlysimilar events through a process called pattern separation and can retrieve memories from partial or degraded cues through a process called pattern completion. | The hippocampus can also retrieve a memory representation based on a partial or degraded retrieval cue through a process called pattern completion.;partial;
Human_Study;The hippocampus creates distinct episodes from highlysimilar events through a process called pattern separation and can retrieve memories from partial or degraded cues through a process called pattern completion. | The hippocampus can also retrieve a memory representation based on a partial or degraded retrieval cue through a process called pattern completion.;degraded;
Human_Study;The hippocampus creates distinct episodes from highlysimilar events through a process called pattern separation and can retrieve memories from partial or degraded cues through a process called pattern completion. | The hippocampus can also retrieve a memory representation based on a partial or degraded retrieval cue through a process called pattern completion.;retrieval;
Human_Study;The hippocampus creates distinct episodes from highlysimilar events through a process called pattern separation and can retrieve memories from partial or degraded cues through a process called pattern completion. | The hippocampus can also retrieve a memory representation based on a partial or degraded retrieval cue through a process called pattern completion.;cue;
Human_Study;The hippocampus creates distinct episodes from highlysimilar events through a process called pattern separation and can retrieve memories from partial or degraded cues through a process called pattern completion. | The hippocampus can also retrieve a memory representation based on a partial or degraded retrieval cue through a process called pattern completion.;through;
Human_Study;The hippocampus creates distinct episodes from highlysimilar events through a process called pattern separation and can retrieve memories from partial or degraded cues through a process called pattern completion. | The hippocampus can also retrieve a memory representation based on a partial or degraded retrieval cue through a process called pattern completion.;process;
Human_Study;The hippocampus creates distinct episodes from highlysimilar events through a process called pattern separation and can retrieve memories from partial or degraded cues through a process called pattern completion. | The hippocampus can also retrieve a memory representation based on a partial or degraded retrieval cue through a process called pattern completion.;called;
Human_Study;The hippocampus creates distinct episodes from highlysimilar events through a process called pattern separation and can retrieve memories from partial or degraded cues through a process called pattern completion. | The hippocampus can also retrieve a memory representation based on a partial or degraded retrieval cue through a process called pattern completion.;pattern;
Human_Study;The hippocampus creates distinct episodes from highlysimilar events through a process called pattern separation and can retrieve memories from partial or degraded cues through a process called pattern completion. | The hippocampus can also retrieve a memory representation based on a partial or degraded retrieval cue through a process called pattern completion.;completion;
Human_Study;If familiar, it can be used to reactivate a previously stored memory, by a process known as pattern completion. |pattern completion, a process that increases overlap by reactivating related memory traces.;familiar;
Human_Study;If familiar, it can be used to reactivate a previously stored memory, by a process known as pattern completion. |pattern completion, a process that increases overlap by reactivating related memory traces.;used;
Human_Study;If familiar, it can be used to reactivate a previously stored memory, by a process known as pattern completion. |pattern completion, a process that increases overlap by reactivating related memory traces.;reactivate;
Human_Study;If familiar, it can be used to reactivate a previously stored memory, by a process known as pattern completion. |pattern completion, a process that increases overlap by reactivating related memory traces.;previously;
Human_Study;If familiar, it can be used to reactivate a previously stored memory, by a process known as pattern completion. |pattern completion, a process that increases overlap by reactivating related memory traces.;stored;
Human_Study;If familiar, it can be used to reactivate a previously stored memory, by a process known as pattern completion. |pattern completion, a process that increases overlap by reactivating related memory traces.;memory;
Human_Study;If familiar, it can be used to reactivate a previously stored memory, by a process known as pattern completion. |pattern completion, a process that increases overlap by reactivating related memory traces.;process;
Human_Study;If familiar, it can be used to reactivate a previously stored memory, by a process known as pattern completion. |pattern completion, a process that increases overlap by reactivating related memory traces.;known;
Human_Study;If familiar, it can be used to reactivate a previously stored memory, by a process known as pattern completion. |pattern completion, a process that increases overlap by reactivating related memory traces.;pattern;
Human_Study;If familiar, it can be used to reactivate a previously stored memory, by a process known as pattern completion. |pattern completion, a process that increases overlap by reactivating related memory traces.;completion;
Human_Study;If familiar, it can be used to reactivate a previously stored memory, by a process known as pattern completion. |pattern completion, a process that increases overlap by reactivating related memory traces.;pattern;
Human_Study;If familiar, it can be used to reactivate a previously stored memory, by a process known as pattern completion. |pattern completion, a process that increases overlap by reactivating related memory traces.;completion;
Human_Study;If familiar, it can be used to reactivate a previously stored memory, by a process known as pattern completion. |pattern completion, a process that increases overlap by reactivating related memory traces.;process;
Human_Study;If familiar, it can be used to reactivate a previously stored memory, by a process known as pattern completion. |pattern completion, a process that increases overlap by reactivating related memory traces.;increase;
Human_Study;If familiar, it can be used to reactivate a previously stored memory, by a process known as pattern completion. |pattern completion, a process that increases overlap by reactivating related memory traces.;overlap;
Human_Study;If familiar, it can be used to reactivate a previously stored memory, by a process known as pattern completion. |pattern completion, a process that increases overlap by reactivating related memory traces.;reactivating;
Human_Study;If familiar, it can be used to reactivate a previously stored memory, by a process known as pattern completion. |pattern completion, a process that increases overlap by reactivating related memory traces.;related;
Human_Study;If familiar, it can be used to reactivate a previously stored memory, by a process known as pattern completion. |pattern completion, a process that increases overlap by reactivating related memory traces.;memory;
Human_Study;If familiar, it can be used to reactivate a previously stored memory, by a process known as pattern completion. |pattern completion, a process that increases overlap by reactivating related memory traces.;trace;
Human_Study;...elements are bound together so that a cue can trigger reexperience of all elements via pattern completion.|Presentation of a partial cue will lead to the reinstatement of all event elements through a process of pattern completion in the hippocampus.;element;
Human_Study;...elements are bound together so that a cue can trigger reexperience of all elements via pattern completion.|Presentation of a partial cue will lead to the reinstatement of all event elements through a process of pattern completion in the hippocampus.;bound;
Human_Study;...elements are bound together so that a cue can trigger reexperience of all elements via pattern completion.|Presentation of a partial cue will lead to the reinstatement of all event elements through a process of pattern completion in the hippocampus.;together;
Human_Study;...elements are bound together so that a cue can trigger reexperience of all elements via pattern completion.|Presentation of a partial cue will lead to the reinstatement of all event elements through a process of pattern completion in the hippocampus.;so;
Human_Study;...elements are bound together so that a cue can trigger reexperience of all elements via pattern completion.|Presentation of a partial cue will lead to the reinstatement of all event elements through a process of pattern completion in the hippocampus.;cue;
Human_Study;...elements are bound together so that a cue can trigger reexperience of all elements via pattern completion.|Presentation of a partial cue will lead to the reinstatement of all event elements through a process of pattern completion in the hippocampus.;trigger;
Human_Study;...elements are bound together so that a cue can trigger reexperience of all elements via pattern completion.|Presentation of a partial cue will lead to the reinstatement of all event elements through a process of pattern completion in the hippocampus.;reexperience;
Human_Study;...elements are bound together so that a cue can trigger reexperience of all elements via pattern completion.|Presentation of a partial cue will lead to the reinstatement of all event elements through a process of pattern completion in the hippocampus.;all;
Human_Study;...elements are bound together so that a cue can trigger reexperience of all elements via pattern completion.|Presentation of a partial cue will lead to the reinstatement of all event elements through a process of pattern completion in the hippocampus.;element;
Human_Study;...elements are bound together so that a cue can trigger reexperience of all elements via pattern completion.|Presentation of a partial cue will lead to the reinstatement of all event elements through a process of pattern completion in the hippocampus.;via;
Human_Study;...elements are bound together so that a cue can trigger reexperience of all elements via pattern completion.|Presentation of a partial cue will lead to the reinstatement of all event elements through a process of pattern completion in the hippocampus.;pattern;
Human_Study;...elements are bound together so that a cue can trigger reexperience of all elements via pattern completion.|Presentation of a partial cue will lead to the reinstatement of all event elements through a process of pattern completion in the hippocampus.;completionpresentation;
Human_Study;...elements are bound together so that a cue can trigger reexperience of all elements via pattern completion.|Presentation of a partial cue will lead to the reinstatement of all event elements through a process of pattern completion in the hippocampus.;partial;
Human_Study;...elements are bound together so that a cue can trigger reexperience of all elements via pattern completion.|Presentation of a partial cue will lead to the reinstatement of all event elements through a process of pattern completion in the hippocampus.;cue;
Human_Study;...elements are bound together so that a cue can trigger reexperience of all elements via pattern completion.|Presentation of a partial cue will lead to the reinstatement of all event elements through a process of pattern completion in the hippocampus.;will;
Human_Study;...elements are bound together so that a cue can trigger reexperience of all elements via pattern completion.|Presentation of a partial cue will lead to the reinstatement of all event elements through a process of pattern completion in the hippocampus.;lead;
Human_Study;...elements are bound together so that a cue can trigger reexperience of all elements via pattern completion.|Presentation of a partial cue will lead to the reinstatement of all event elements through a process of pattern completion in the hippocampus.;reinstatement;
Human_Study;...elements are bound together so that a cue can trigger reexperience of all elements via pattern completion.|Presentation of a partial cue will lead to the reinstatement of all event elements through a process of pattern completion in the hippocampus.;all;
Human_Study;...elements are bound together so that a cue can trigger reexperience of all elements via pattern completion.|Presentation of a partial cue will lead to the reinstatement of all event elements through a process of pattern completion in the hippocampus.;event;
Human_Study;...elements are bound together so that a cue can trigger reexperience of all elements via pattern completion.|Presentation of a partial cue will lead to the reinstatement of all event elements through a process of pattern completion in the hippocampus.;element;
Human_Study;...elements are bound together so that a cue can trigger reexperience of all elements via pattern completion.|Presentation of a partial cue will lead to the reinstatement of all event elements through a process of pattern completion in the hippocampus.;through;
Human_Study;...elements are bound together so that a cue can trigger reexperience of all elements via pattern completion.|Presentation of a partial cue will lead to the reinstatement of all event elements through a process of pattern completion in the hippocampus.;process;
Human_Study;...elements are bound together so that a cue can trigger reexperience of all elements via pattern completion.|Presentation of a partial cue will lead to the reinstatement of all event elements through a process of pattern completion in the hippocampus.;pattern;
Human_Study;...elements are bound together so that a cue can trigger reexperience of all elements via pattern completion.|Presentation of a partial cue will lead to the reinstatement of all event elements through a process of pattern completion in the hippocampus.;completion;
Human_Study;...elements are bound together so that a cue can trigger reexperience of all elements via pattern completion.|Presentation of a partial cue will lead to the reinstatement of all event elements through a process of pattern completion in the hippocampus.;hippocampus;
Human_Study;...pattern completion (cues reinstate stored representations, indexed by CA1 activation)|pattern completion (a neuro-computational process by which a partial match of cues can reinstate previously stored representations;pattern;
Human_Study;...pattern completion (cues reinstate stored representations, indexed by CA1 activation)|pattern completion (a neuro-computational process by which a partial match of cues can reinstate previously stored representations;completion;
Human_Study;...pattern completion (cues reinstate stored representations, indexed by CA1 activation)|pattern completion (a neuro-computational process by which a partial match of cues can reinstate previously stored representations;cue;
Human_Study;...pattern completion (cues reinstate stored representations, indexed by CA1 activation)|pattern completion (a neuro-computational process by which a partial match of cues can reinstate previously stored representations;reinstate;
Human_Study;...pattern completion (cues reinstate stored representations, indexed by CA1 activation)|pattern completion (a neuro-computational process by which a partial match of cues can reinstate previously stored representations;stored;
Human_Study;...pattern completion (cues reinstate stored representations, indexed by CA1 activation)|pattern completion (a neuro-computational process by which a partial match of cues can reinstate previously stored representations;representation;
Human_Study;...pattern completion (cues reinstate stored representations, indexed by CA1 activation)|pattern completion (a neuro-computational process by which a partial match of cues can reinstate previously stored representations;indexed;
Human_Study;...pattern completion (cues reinstate stored representations, indexed by CA1 activation)|pattern completion (a neuro-computational process by which a partial match of cues can reinstate previously stored representations;ca1;
Human_Study;...pattern completion (cues reinstate stored representations, indexed by CA1 activation)|pattern completion (a neuro-computational process by which a partial match of cues can reinstate previously stored representations;activationpattern;
Human_Study;...pattern completion (cues reinstate stored representations, indexed by CA1 activation)|pattern completion (a neuro-computational process by which a partial match of cues can reinstate previously stored representations;completion;
Human_Study;...pattern completion (cues reinstate stored representations, indexed by CA1 activation)|pattern completion (a neuro-computational process by which a partial match of cues can reinstate previously stored representations;neurocomputational;
Human_Study;...pattern completion (cues reinstate stored representations, indexed by CA1 activation)|pattern completion (a neuro-computational process by which a partial match of cues can reinstate previously stored representations;process;
Human_Study;...pattern completion (cues reinstate stored representations, indexed by CA1 activation)|pattern completion (a neuro-computational process by which a partial match of cues can reinstate previously stored representations;partial;
Human_Study;...pattern completion (cues reinstate stored representations, indexed by CA1 activation)|pattern completion (a neuro-computational process by which a partial match of cues can reinstate previously stored representations;match;
Human_Study;...pattern completion (cues reinstate stored representations, indexed by CA1 activation)|pattern completion (a neuro-computational process by which a partial match of cues can reinstate previously stored representations;cue;
Human_Study;...pattern completion (cues reinstate stored representations, indexed by CA1 activation)|pattern completion (a neuro-computational process by which a partial match of cues can reinstate previously stored representations;reinstate;
Human_Study;...pattern completion (cues reinstate stored representations, indexed by CA1 activation)|pattern completion (a neuro-computational process by which a partial match of cues can reinstate previously stored representations;previously;
Human_Study;...pattern completion (cues reinstate stored representations, indexed by CA1 activation)|pattern completion (a neuro-computational process by which a partial match of cues can reinstate previously stored representations;stored;
Human_Study;...pattern completion (cues reinstate stored representations, indexed by CA1 activation)|pattern completion (a neuro-computational process by which a partial match of cues can reinstate previously stored representations;representation;
Human_Study;"Personally experienced events include multiple elements, such as locations, people, and objects. These events are
thought to be stored in episodic memory as coherent representations that allow the retrieval of all elements from a partial cue (‘‘pattern completion’’ ) |...If all possible within-even pairs are encoded, a partial cue can cause retrieval of all within-event elements (regardless of whether they are being tested or not).";personally;
Human_Study;"Personally experienced events include multiple elements, such as locations, people, and objects. These events are
thought to be stored in episodic memory as coherent representations that allow the retrieval of all elements from a partial cue (‘‘pattern completion’’ ) |...If all possible within-even pairs are encoded, a partial cue can cause retrieval of all within-event elements (regardless of whether they are being tested or not).";experienced;
Human_Study;"Personally experienced events include multiple elements, such as locations, people, and objects. These events are
thought to be stored in episodic memory as coherent representations that allow the retrieval of all elements from a partial cue (‘‘pattern completion’’ ) |...If all possible within-even pairs are encoded, a partial cue can cause retrieval of all within-event elements (regardless of whether they are being tested or not).";event;
Human_Study;"Personally experienced events include multiple elements, such as locations, people, and objects. These events are
thought to be stored in episodic memory as coherent representations that allow the retrieval of all elements from a partial cue (‘‘pattern completion’’ ) |...If all possible within-even pairs are encoded, a partial cue can cause retrieval of all within-event elements (regardless of whether they are being tested or not).";include;
Human_Study;"Personally experienced events include multiple elements, such as locations, people, and objects. These events are
thought to be stored in episodic memory as coherent representations that allow the retrieval of all elements from a partial cue (‘‘pattern completion’’ ) |...If all possible within-even pairs are encoded, a partial cue can cause retrieval of all within-event elements (regardless of whether they are being tested or not).";multiple;
Human_Study;"Personally experienced events include multiple elements, such as locations, people, and objects. These events are
thought to be stored in episodic memory as coherent representations that allow the retrieval of all elements from a partial cue (‘‘pattern completion’’ ) |...If all possible within-even pairs are encoded, a partial cue can cause retrieval of all within-event elements (regardless of whether they are being tested or not).";element;
